λ (nm),α (cm^-1)
228.86,25605.094378303915
228.92,25893.578112939365
228.98,26182.061847574954
229.04,26326.47994767041
229.1,26398.86523049575
229.16,26471.250513321087
229.22,26543.63579614643
229.28,26616.02107897177
229.34,26688.406361797108
229.4,26760.79164462245
229.46,26833.17692744779
229.52,26905.56221027313
229.57999999999998,26977.947493098432
229.64,27050.332775923773
229.7,27122.71805874911
229.76,27195.103341574453
229.82,27267.48862439979
229.88,27339.87390722513
229.94,27412.25919005047
230.0,27484.64447287581
230.06,27145.574988534576
230.12,26806.50550419334
230.18,26467.436019852103
230.24,26128.366535510868
230.3,25789.297051169633
230.36,25450.2275668284
230.42,25111.158082487324
230.48,24772.088598146085
230.54,24433.01911380485
230.6,24093.949629463616
230.66,23754.88014512238
230.72,23415.810660781146
230.78,23076.741176439908
230.84,22737.671692098673
230.9,22398.602207757438
230.96,22059.532723416203
231.02,21544.141104215716
231.07999999999998,20676.105215297383
231.14,19808.069326378645
231.2,18940.0334374599
231.26,18071.99754854116
231.32,17203.961659622415
231.38,16335.925770703678
231.44,15467.889881784933
231.5,14599.853992866194
231.56,13731.818103947451
231.62,12863.78221502871
231.68,11995.74632610997
231.74,11127.710437191228
231.8,10259.674548272485
231.86,9391.638659353745
231.92,8523.602770435413
231.98,7655.566881516671
232.04,6506.180534979699
232.1,5216.118959633512
232.16,3926.0573842873246
232.22,2635.9958089411375
232.28,1345.9342335949505
232.34,55.87265824876257
232.4,1234.1889170974243
232.46,2524.250492443611
232.51999999999998,3814.3120677891884
232.57999999999998,5104.3736431353755
232.64,6394.4352184815625
232.7,7684.496793827749
232.76,8974.558369173936
232.82,10264.619944520122
232.88,11554.681519866312
232.94,12844.743095212498
233.0,14134.804670558686
233.06,15350.497316569685
233.12,16566.189962580684
233.18,17781.88260859168
233.24,18997.57525460268
233.3,20213.267900613682
233.36,21428.960546624683
233.42000000000002,22644.65319263568
233.48,23860.345838646102
233.54,25076.038484657103
233.6,26291.7311306681
233.66,27507.4237766791
233.72,28723.1164226901
233.78,29938.8090687011
233.84,31154.501714712096
233.9,32370.194360723097
233.96,33585.8870067341
234.01999999999998,34440.05890431412
234.07999999999998,34571.18930503292
234.14,34702.319705751725
234.2,34833.45010647052
234.26,34964.58050718932
234.32,35095.71090790812
234.38,35226.841308626914
234.44,35357.971709345715
234.5,35489.10211006451
234.56,35620.23251078331
234.62,35751.36291150211
234.68,35882.493312220904
234.74,36013.623712939705
234.8,36144.754113658506
234.86,36275.8845143773
234.92000000000002,36407.0149150961
234.98,36538.145315814836
235.04,34925.676480400914
235.1,32441.408026920017
235.16,29957.13957343912
235.22,27472.871119958218
235.28,24988.60266647732
235.34,22504.33421299642
235.4,20020.065759515517
235.46,17535.79730603462
235.51999999999998,15051.528852554897
235.57999999999998,12567.260399073999
235.64,10082.9919455931
235.7,7598.723492112198
235.76,5114.455038631301
235.82,2630.186585150401
235.88,145.91813166950004
235.94,2338.3503218113965
236.0,4822.618775292297
236.06,11797.601258358016
236.12,18772.583741423736
236.18,25747.56622448946
236.24,32722.548707555175
236.3,39697.531190620895
236.36,46672.513673686626
236.42000000000002,53647.496156752335
236.48,60622.47863981475
236.54,67597.46112288047
236.6,74572.44360594619
236.66,81547.42608901192
236.72,88522.40857207762
236.78,95497.39105514335
236.84,102472.37353820905
236.9,109447.35602127478
236.96,116422.3385043405
237.01999999999998,125509.80699488829
237.07999999999998,138822.24750041612
237.14,152134.68800594396
237.2,165447.12851147176
237.26,178759.56901699962
237.32,192072.00952252743
237.38,205384.4500280553
237.44,218696.8905335831
237.5,232009.33103911096
237.56,245321.77154463876
237.62,258634.21205016662
237.68,271946.6525556944
237.74,285259.0930612223
237.8,298571.53356675006
237.86,311883.97407227795
237.92000000000002,325196.4145778057
237.98,338508.8550833273
238.04,356924.34683898184
238.1,377891.3642197016
238.16,398858.38160042133
238.22,419825.3989811411
238.28,440792.4163618608
238.34,461759.4337425805
238.4,482726.4511233003
238.46,503693.4685040201
238.51999999999998,524660.4858847298
238.57999999999998,545627.5032654495
238.64,566594.5206461693
238.7,587561.5380268891
238.76,608528.5554076087
238.82,629495.5727883285
238.88,650462.5901690483
238.94,671429.607549768
239.0,692396.6249304877
239.06,721325.4816204932
239.12,750254.3383104989
239.18,779183.1950005043
239.24,808112.0516905099
239.3,837040.9083805154
239.36,865969.7650705209
239.42000000000002,894898.6217605264
239.48,923827.4784505182
239.54,952756.3351405238
239.6,981685.1918305295
239.66,1010614.0485205349
239.72,1039542.9052105404
239.78,1068471.761900546
239.84,1097400.6185905514
239.9,1126329.4752805568
239.96,1155258.3319705625
240.01999999999998,1186514.5909332763
240.07999999999998,1222425.6544414542
240.14,1258336.7179496319
240.2,1294247.7814578095
240.26,1330158.8449659874
240.32,1366069.9084741655
240.38,1401980.9719823431
240.44,1437892.0354905208
240.5,1473803.0989986989
240.56,1509714.1625068765
240.62,1545625.2260150544
240.68,1581536.289523232
240.74,1617447.35303141
240.8,1653358.4165395878
240.86,1689269.4800477657
240.92000000000002,1725180.5435559433
240.98,1761091.6070641042
241.04,1800189.1600488757
241.1,1840879.9577719448
241.16,1881570.755495014
241.22,1922261.5532180835
241.28,1962952.3509411525
241.34,2003643.148664222
241.4,2044333.9463872912
241.46,2085024.7441103603
241.51999999999998,2125715.5418334105
241.57999999999998,2166406.33955648
241.64,2207097.137279549
241.7,2247787.935002618
241.76,2288478.7327256873
241.82,2329169.5304487566
241.88,2369860.328171826
241.94,2410551.1258948953
242.0,2451241.9236179646
242.06,2493708.6350440066
242.12,2536175.346470049
242.18,2578642.057896092
242.24,2621108.7693221346
242.3,2663575.480748177
242.36,2706042.1921742195
242.42000000000002,2748508.903600262
242.48,2790975.6150262845
242.54,2833442.326452327
242.6,2875909.037878369
242.66,2918375.749304412
242.72,2960842.4607304544
242.78,3003309.172156497
242.84,3045775.8835825394
242.9,3088242.5950085823
242.96,3130709.306434625
243.01999999999998,3172715.93529928
243.07999999999998,3213802.3990412205
243.14,3254888.862783162
243.2,3295975.3265251024
243.26,3337061.7902670437
243.32,3378148.254008984
243.38,3419234.7177509246
243.44,3460321.181492866
243.5,3501407.6452348065
243.56,3542494.108976747
243.62,3583580.5727186883
243.68,3624667.0364606287
243.74,3665753.5002025696
243.8,3706839.9639445106
243.86,3747926.427686451
243.92000000000002,3789012.8914283914
243.98,3830099.3551703133
244.04,3868497.7356256163
244.1,3905552.074437599
244.16,3942606.413249583
244.22,3979660.7520615663
244.28,4016715.090873549
244.34,4053769.4296855326
244.4,4090823.768497516
244.46,4127878.107309499
244.51999999999998,4164932.446121465
244.57999999999998,4201986.784933448
244.64,4239041.123745431
244.7,4276095.462557415
244.76,4313149.801369398
244.82,4350204.14018138
244.88,4387258.478993365
244.94,4424312.817805348
245.0,4461367.15661733
245.06,4492698.319688625
245.12,4524029.48275992
245.18,4555360.645831214
245.24,4586691.808902509
245.3,4618022.971973803
245.36,4649354.135045097
245.42000000000002,4680685.298116392
245.48,4712016.461187672
245.54,4743347.624258966
245.6,4774678.7873302605
245.66,4806009.950401555
245.72,4837341.113472849
245.78,4868672.276544144
245.84,4900003.439615439
245.9,4931334.602686733
245.96,4962665.765758027
246.01999999999998,4991894.347808715
246.07999999999998,5016917.767818228
246.14,5041941.187827742
246.2,5066964.607837255
246.26,5091988.0278467685
246.32,5117011.447856282
246.38,5142034.867865795
246.44,5167058.287875309
246.5,5192081.707884821
246.56,5217105.1278943345
246.62,5242128.547903848
246.68,5267151.967913361
246.74,5292175.387922875
246.8,5317198.807932388
246.86,5342222.227941901
246.92000000000002,5367245.647951415
246.98,5392269.067960916
247.04,5413336.123637368
247.1,5432424.997147286
247.16,5451513.870657204
247.22,5470602.744167122
247.28,5489691.61767704
247.34,5508780.491186959
247.4,5527869.364696878
247.46,5546958.238206796
247.51999999999998,5566047.111716705
247.57999999999998,5585135.985226624
247.64,5604224.858736542
247.7,5623313.732246459
247.76,5642402.605756378
247.82,5661491.479266297
247.88,5680580.352776215
247.94,5699669.226286134
248.0,5718758.099796052
248.06,5732914.863243918
248.12,5747071.626691785
248.18,5761228.39013965
248.24,5775385.153587516
248.3,5789541.917035382
248.36,5803698.680483248
248.42000000000002,5817855.443931115
248.48,5832012.207378974
248.54,5846168.970826839
248.6,5860325.734274706
248.66,5874482.497722572
248.72,5888639.2611704385
248.78,5902796.024618304
248.84,5916952.78806617
248.9,5931109.551514037
248.96,5945266.314961902
249.01999999999998,5958200.8482802985
249.07999999999998,5968690.921339771
249.14,5979180.994399244
249.2,5989671.067458716
249.26,6000161.140518189
249.32,6010651.213577663
249.38,6021141.286637135
249.44,6031631.359696608
249.5,6042121.43275608
249.56,6052611.505815553
249.62,6063101.578875026
249.68,6073591.651934498
249.74,6084081.72499397
249.8,6094571.798053444
249.86,6105061.871112917
249.92000000000002,6115551.94417239
249.98,6126042.0172318565
250.04,6134905.790743651
250.1,6142956.414481605
250.16,6151007.038219559
250.22,6159057.661957514
250.28,6167108.285695467
250.34,6175158.909433422
250.4,6183209.533171375
250.46,6191260.15690933
250.51999999999998,6199310.780647281
250.57999999999998,6207361.404385234
250.64,6215412.028123189
250.7,6223462.651861142
250.76,6231513.275599097
250.82,6239563.8993370505
250.88,6247614.523075005
250.94,6255665.146812959
251.0,6263715.770550913
251.06,6270322.506157604
251.12,6276929.241764294
251.18,6283535.977370986
251.24,6290142.712977677
251.3,6296749.4485843675
251.36,6303356.184191057
251.42,6309962.9197977455
251.48,6316569.655404437
251.54,6323176.391011128
251.6,6329783.126617818
251.66,6336389.86222451
251.72,6342996.597831201
251.78,6349603.333437892
251.84,6356210.069044583
251.9,6362816.804651273
251.96,6369423.540257964
252.01999999999998,6375775.702617514
252.07999999999998,6381618.718482791
252.14,6387461.734348068
252.2,6393304.750213345
252.26,6399147.766078621
252.32,6404990.781943898
252.38,6410833.797809174
252.44,6416676.813674451
252.5,6422519.829539728
252.56,6428362.845405003
252.62,6434205.861270281
252.68,6440048.877135557
252.74,6445891.893000834
252.8,6451734.90886611
252.86,6457577.924731387
252.92,6463420.9405966615
252.98,6469263.956461938
253.04,6474847.5003780825
253.1,6480301.308319662
253.16,6485755.116261241
253.22,6491208.92420282
253.28,6496662.7321444
253.34,6502116.54008598
253.4,6507570.348027558
253.46,6513024.155969137
253.51999999999998,6518477.963910714
253.57999999999998,6523931.771852294
253.64,6529385.579793872
253.7,6534839.387735452
253.76,6540293.195677032
253.82,6545747.00361861
253.88,6551200.811560189
253.94,6556654.61950177
254.0,6562108.427443348
254.06,6567314.395076069
254.12,6572520.362708791
254.18,6577726.330341512
254.24,6582932.2979742335
254.3,6588138.265606956
254.36,6593344.233239676
254.42,6598550.200872395
254.48,6603756.168505116
254.54,6608962.1361378385
254.6,6614168.103770559
254.66,6619374.07140328
254.72,6624580.039036002
254.78,6629786.006668723
254.84,6634991.974301445
254.9,6640197.9419341665
254.96,6645403.909566887
255.01999999999998,6650528.1652110005
255.07999999999998,6655488.996877902
255.14,6660449.828544805
255.2,6665410.6602117065
255.26,6670371.491878609
255.32,6675332.323545512
255.38,6680293.155212414
255.44,6685253.986879317
255.5,6690214.81854622
255.56,6695175.650213122
255.62,6700136.481880025
255.68,6705097.313546927
255.74,6710058.145213829
255.8,6715018.976880732
255.86,6719979.808547635
255.92,6724940.640214534
255.98,6729901.471881436
256.04,6734663.784576864
256.1,6739326.837786552
256.15999999999997,6743989.890996234
256.22,6748652.944205925
256.28,6753315.997415608
256.34,6757979.050625294
256.4,6762642.10383498
256.46,6767305.157044668
256.52,6771968.210254354
256.58,6776631.263464041
256.64,6781294.316673729
256.7,6785957.369883415
256.76,6790620.423093102
256.82,6795283.476302788
256.88,6799946.529512475
256.94,6804609.582722162
257.0,6809272.635931849
257.06,6813587.616961394
257.12,6817902.59799094
257.18,6822217.579020485
257.24,6826532.56005003
257.3,6830847.541079576
257.36,6835162.522109122
257.42,6839477.503138667
257.48,6843792.484168213
257.54,6848107.465197758
257.6,6852422.446227303
257.65999999999997,6856737.427256845
257.72,6861052.408286395
257.78,6865367.389315936
257.84,6869682.370345482
257.9,6873997.351375027
257.96,6878312.3324045725
258.02,6882504.748669237
258.08,6886452.035404141
258.14,6890399.322139047
258.2,6894346.608873951
258.26,6898293.895608855
258.32,6902241.1823437605
258.38,6906188.469078666
258.44,6910135.75581357
258.5,6914083.042548475
258.56,6918030.329283379
258.62,6921977.616018283
258.68,6925924.902753189
258.74,6929872.189488093
258.8,6933819.4762229975
258.86,6937766.762957902
258.92,6941714.049692807
258.98,6945661.336427712
259.04,6949370.858456305
259.1,6952961.498131744
259.15999999999997,6956552.137807178
259.22,6960142.7774826195
259.28,6963733.417158054
