λ (nm),α (cm^-1)
221.66,52517.70597580535
221.72,52626.79788762369
221.78,52735.88979944203
221.84,52844.98171126037
221.9,52954.07362307872
221.96,53063.16553489707
222.02,53175.43484000682
222.07999999999998,53294.05893169932
222.14,53412.68302339188
222.2,53531.30711508443
222.26,53649.931206777
222.32,53768.55529846956
222.38,53887.17939016211
222.44,54005.80348185468
222.5,54124.42757354724
222.56,54243.05166523979
222.62,54361.67575693236
222.68,54480.29984862491
222.74,54598.92394031747
222.8,54717.54803201004
222.86,54836.17212370259
222.92,54954.7962153951
222.98,55073.420307087654
223.04,55203.466881506494
223.1,55339.22469728846
223.16,55474.982513070434
223.22,55610.740328852415
223.28,55746.49814463439
223.34,55882.25596041636
223.4,56018.01377619833
223.46,56153.77159198031
223.52,56289.52940776228
223.57999999999998,56425.28722354418
223.64,56561.04503932616
223.7,56696.80285510814
223.76,56832.56067089011
223.82,56968.31848667208
223.88,57104.07630245406
223.94,57239.83411823603
224.0,57375.591934018004
224.06,57541.68696765361
224.12,57707.78200128922
224.18,57873.87703492483
224.24,58039.972068560426
224.3,58206.06710219604
224.36,58372.16213583164
224.42,58538.25716946717
224.48,58704.35220310278
224.54,58870.447236738386
224.6,59036.54227037399
224.66,59202.63730400959
224.72,59368.732337645204
224.78,59534.827371280815
224.84,59700.92240491642
224.9,59867.01743855203
224.96,60033.112472187626
225.02,60215.132234199526
225.07999999999998,60429.00145296387
225.14,60642.87067172832
225.2,60856.73989049277
225.26,61070.609109257224
225.32,61284.47832802167
225.38,61498.34754678612
225.44,61712.21676555057
225.5,61926.085984315025
225.56,62139.95520307948
225.62,62353.82442184393
225.68,62567.69364060838
225.74,62781.562859372825
225.8,62995.43207813727
225.86,63209.30129690172
225.92,63423.17051566607
225.98,63637.03973443052
226.04,63896.00718941418
226.1,64177.52376250747
226.16,64459.04033560077
226.22,64740.55690869405
226.28,65022.073481787345
226.34,65303.59005488063
226.4,65585.10662797393
226.46,65866.62320106721
226.52,66148.1397741605
226.57999999999998,66429.65634725367
226.64,66711.17292034694
226.7,66992.68949344024
226.76,67274.20606653353
226.82,67555.72263962682
226.88,67837.23921272012
226.94,68118.7557858134
227.0,68400.27235890669
227.06,68770.85760682002
227.12,69141.44285473334
227.18,69512.02810264667
227.24,69882.61335056
227.3,70253.19859847332
227.36,70623.78384638664
227.42,70994.3690942998
227.48,71364.95434221312
227.54,71735.53959012644
227.6,72106.12483803977
227.66,72476.71008595309
227.72,72847.29533386642
227.78,73217.88058177974
227.84,73588.46582969307
227.9,73959.05107760639
227.96,74329.63632551972
228.02,74737.31827961304
228.07999999999998,75219.1936460661
228.14,75701.06901251935
228.2,76182.94437897262
228.26,76664.81974542589
228.32,77146.69511187916
228.38,77628.57047833242
228.44,78110.44584478569
228.5,78592.32121123896
228.56,79074.19657769223
228.62,79556.0719441455
228.68,80037.94731059877
228.74,80519.82267705204
228.8,81001.6980435053
228.86,81483.57340995857
228.92,81965.4487764116
228.98,82447.32414286488
229.04,83017.2621961087
229.1,83631.23159274783
229.16,84245.20098938697
229.22,84859.1703860261
229.28,85473.13978266522
229.34,86087.10917930435
229.4,86701.07857594348
229.46,87315.0479725826
229.52,87929.01736922175
229.57999999999998,88542.98676586058
229.64,89156.9561624997
229.7,89770.92555913884
229.76,90384.89495577796
229.82,90998.86435241709
229.88,91612.83374905623
229.94,92226.80314569536
230.0,92840.77254233448
230.06,93602.89951610997
230.12,94365.02648988547
230.18,95127.15346366096
230.24,95889.28043743646
230.3,96651.40741121194
230.36,97413.53438498743
230.42,98175.66135876256
230.48,98937.78833253805
230.54,99699.91530631356
230.6,100462.04228008905
230.66,101224.16925386453
230.72,101986.29622764002
230.78,102748.42320141551
230.84,103510.550175191
230.9,104272.6771489665
230.96,105034.804122742
231.02,105849.48334588003
231.07999999999998,106769.26706774268
231.14,107689.05078960572
231.2,108608.8345114688
231.26,109528.61823333187
231.32,110448.40195519493
231.38,111368.185677058
231.44,112287.96939892108
231.5,113207.75312078414
231.56,114127.53684264721
231.62,115047.32056451029
231.68,115967.10428637336
231.74,116886.8880082364
231.8,117806.67173009948
231.86,118726.45545196255
231.92,119646.23917382518
231.98,120566.02289568825
232.04,121594.03636495191
232.1,122676.16470791592
232.16,123758.2930508799
232.22,124840.42139384392
232.28,125922.54973680792
232.34,127004.67807977193
232.4,128086.80642273591
232.46,129168.93476569992
232.51999999999998,130251.06310866341
232.57999999999998,131333.1914516274
232.64,132415.3197945914
232.7,133497.44813755542
232.76,134579.5764805194
232.82,135661.70482348342
232.88,136743.8331664474
232.94,137825.96150941143
233.0,138908.08985237541
233.06,140157.18270357492
233.12,141406.27555477442
233.18,142655.36840597392
233.24,143904.46125717342
233.3,145153.5541083729
233.36,146402.6469595724
233.42000000000002,147651.7398107719
233.48,148900.83266197078
233.54,150149.92551317028
233.6,151399.01836436978
233.66,152648.11121556928
233.72,153897.20406676875
233.78,155146.29691796826
233.84,156395.38976916776
233.9,157644.48262036726
233.96,158893.57547156673
234.01999999999998,160201.58559326245
234.07999999999998,161627.4302559525
234.14,163053.27491864248
234.2,164479.11958133252
234.26,165904.96424402256
234.32,167330.8089067126
234.38,168756.65356940264
234.44,170182.49823209268
234.5,171608.34289478266
234.56,173034.1875574727
234.62,174460.03222016274
234.68,175885.87688285278
234.74,177311.72154554282
234.8,178737.56620823286
234.86,180163.4108709229
234.92000000000002,181589.25553361294
234.98,183015.1001963023
235.04,184571.31023996253
235.1,186192.702974108
235.16,187814.09570825342
235.22,189435.48844239887
235.28,191056.8811765443
235.34,192678.27391068975
235.4,194299.66664483518
235.46,195921.0593789806
235.51999999999998,197542.45211312527
235.57999999999998,199163.84484727072
235.64,200785.23758141615
235.7,202406.6303155616
235.76,204028.02304970703
235.82,205649.41578385246
235.88,207270.8085179979
235.94,208892.20125214336
236.0,210513.5939862888
236.06,212360.8856327445
236.12,214208.17727920017
