λ (nm),Ts
250.22,0.777574
250.28,0.777676
250.34,0.777778
250.4,0.77788
250.46,0.7779820000000001
250.51999999999998,0.778084
250.57999999999998,0.778186
250.64,0.778288
250.7,0.77839
250.76,0.778492
250.82,0.778594
250.88,0.778696
250.94,0.778798
251.0,0.7789
251.06,0.7790020000000001
251.12,0.779104
251.18,0.7792060000000001
251.24,0.7793080000000001
251.3,0.77941
251.36,0.7795120000000001
251.42,0.779614
251.48,0.7797160000000001
251.54,0.779818
251.6,0.7799200000000001
251.66,0.7800220000000001
251.72,0.780124
251.78,0.7802260000000001
251.84,0.780328
251.9,0.7804300000000001
251.96,0.7805320000000001
252.01999999999998,0.780632
252.07999999999998,0.7807280000000001
252.14,0.7808240000000001
252.2,0.7809200000000001
252.26,0.781016
252.32,0.781112
252.38,0.781208
252.44,0.781304
252.5,0.7814000000000001
252.56,0.7814960000000001
252.62,0.7815920000000001
252.68,0.781688
252.74,0.781784
252.8,0.78188
252.86,0.781976
252.92,0.782072
252.98,0.782168
253.04,0.78226
253.1,0.78235
253.16,0.78244
253.22,0.7825300000000001
253.28,0.78262
253.34,0.78271
253.4,0.7828
253.46,0.7828900000000001
253.51999999999998,0.78298
253.57999999999998,0.78307
253.64,0.78316
253.7,0.78325
253.76,0.78334
253.82,0.7834300000000001
253.88,0.78352
253.94,0.78361
254.0,0.7837000000000001
254.06,0.783796
254.12,0.783892
254.18,0.783988
254.24,0.7840840000000001
254.3,0.7841800000000001
254.36,0.7842760000000001
254.42,0.7843720000000001
254.48,0.784468
254.54,0.784564
254.6,0.78466
254.66,0.784756
254.72,0.784852
254.78,0.784948
254.84,0.785044
254.9,0.7851400000000001
254.96,0.785236
255.01999999999998,0.785328
255.07999999999998,0.785412
255.14,0.785496
255.2,0.78558
255.26,0.785664
255.32,0.785748
255.38,0.785832
255.44,0.7859160000000001
255.5,0.786
255.56,0.786084
255.62,0.7861680000000001
255.68,0.7862520000000001
255.74,0.786336
255.8,0.7864200000000001
255.86,0.7865040000000001
255.92,0.7865880000000001
255.98,0.786672
256.04,0.7867600000000001
256.1,0.78685
256.15999999999997,0.78694
256.22,0.7870300000000001
256.28,0.7871199999999999
256.34,0.78721
256.4,0.7873
256.46,0.7873899999999999
256.52,0.78748
256.58,0.78757
256.64,0.7876599999999999
256.7,0.78775
256.76,0.7878399999999999
256.82,0.7879299999999999
256.88,0.7880199999999999
256.94,0.7881099999999999
257.0,0.7881999999999999
257.06,0.7882839999999999
257.12,0.788368
257.18,0.7884519999999999
257.24,0.7885359999999999
257.3,0.78862
257.36,0.788704
257.42,0.7887879999999999
257.48,0.7888719999999999
257.54,0.788956
257.6,0.78904
257.65999999999997,0.7891239999999999
257.72,0.789208
257.78,0.7892919999999999
257.84,0.789376
257.9,0.7894599999999999
257.96,0.7895439999999999
258.02,0.7896259999999999
258.08,0.789704
258.14,0.789782
258.2,0.78986
258.26,0.789938
258.32,0.7900159999999999
258.38,0.790094
258.44,0.790172
258.5,0.79025
258.56,0.790328
258.62,0.790406
258.68,0.7904840000000001
258.74,0.790562
258.8,0.79064
258.86,0.790718
258.92,0.790796
258.98,0.7908740000000001
259.04,0.7909520000000001
259.1,0.7910300000000001
259.15999999999997,0.791108
259.22,0.7911860000000001
259.28,0.791264
259.34,0.791342
259.4,0.79142
259.46,0.791498
259.52,0.7915760000000001
259.58,0.791654
259.64,0.791732
259.7,0.79181
259.76,0.791888
259.82,0.7919660000000001
259.88,0.792044
259.94,0.792122
260.0,0.7922
260.06,0.792272
260.12,0.792344
260.18,0.792416
260.24,0.792488
260.3,0.79256
260.36,0.792632
260.42,0.7927040000000001
260.48,0.792776
260.54,0.792848
260.6,0.7929200000000001
260.65999999999997,0.7929919999999999
260.72,0.793064
260.78,0.793136
260.84,0.7932079999999999
260.9,0.79328
260.96,0.793352
261.02,0.793424
261.08,0.793496
261.14,0.7935679999999999
261.2,0.79364
261.26,0.793712
261.32,0.7937839999999999
261.38,0.793856
261.44,0.793928
261.5,0.794
261.56,0.794072
261.62,0.794144
261.68,0.794216
261.74,0.794288
261.8,0.79436
261.86,0.794432
261.92,0.794504
261.98,0.794576
262.04,0.794648
262.1,0.79472
262.15999999999997,0.7947919999999999
262.22,0.794864
262.28,0.794936
262.34,0.7950079999999999
262.4,0.7950799999999999
262.46,0.795152
262.52,0.7952239999999999
262.58,0.7952959999999999
262.64,0.795368
262.7,0.7954399999999999
262.76,0.795512
262.82,0.795584
262.88,0.7956559999999999
262.94,0.795728
263.0,0.7958
263.06,0.7958719999999999
263.12,0.795944
263.18,0.796016
263.24,0.796088
263.3,0.79616
263.36,0.796232
263.42,0.796304
263.48,0.796376
263.54,0.796448
263.6,0.79652
263.65999999999997,0.796592
263.72,0.796664
263.78,0.796736
263.84,0.796808
263.9,0.79688
263.96,0.796952
264.02,0.797022
264.08,0.797088
264.14,0.797154
264.2,0.79722
264.26,0.797286
264.32,0.7973520000000001
264.38,0.7974180000000001
264.44,0.7974840000000001
264.5,0.79755
264.56,0.797616
264.62,0.797682
264.68,0.797748
264.74,0.797814
264.8,0.79788
264.86,0.797946
264.92,0.798012
264.98,0.7980780000000001
265.03999999999996,0.79814
265.1,0.7982
265.15999999999997,0.79826
265.22,0.79832
265.28,0.79838
265.34000000000003,0.79844
265.4,0.7985
265.46,0.7985599999999999
265.52,0.79862
265.58,0.79868
265.64,0.7987399999999999
265.7,0.7988
265.76,0.7988599999999999
265.82,0.79892
265.88,0.7989799999999999
265.94,0.79904
266.0,0.7990999999999999
266.06,0.79916
266.12,0.7992199999999999
266.18,0.79928
266.24,0.7993399999999999
266.3,0.7994
266.36,0.79946
266.42,0.79952
266.48,0.79958
266.53999999999996,0.7996399999999999
266.6,0.7997
266.65999999999997,0.7997599999999999
266.72,0.79982
266.78,0.79988
266.84000000000003,0.7999400000000001
266.9,0.8
266.96,0.80006
267.02,0.80012
267.08,0.80018
267.14,0.8002400000000001
267.2,0.8003
267.26,0.8003600000000001
267.32,0.80042
267.38,0.8004800000000001
267.44,0.80054
267.5,0.8006
267.56,0.80066
267.62,0.80072
267.68,0.80078
267.74,0.80084
267.8,0.8009000000000001
267.86,0.80096
267.92,0.8010200000000001
267.98,0.80108
268.03999999999996,0.80114
268.1,0.8012
268.15999999999997,0.80126
268.22,0.80132
268.28,0.80138
268.34000000000003,0.80144
268.4,0.8015
268.46,0.8015599999999999
268.52,0.80162
268.58,0.80168
268.64,0.8017399999999999
268.7,0.8018
268.76,0.8018599999999999
268.82,0.80192
268.88,0.8019799999999999
268.94,0.80204
269.0,0.8020999999999999
269.06,0.8021539999999999
269.12,0.8022079999999999
269.18,0.8022619999999999
269.24,0.8023159999999999
269.3,0.8023699999999999
269.36,0.8024239999999999
269.42,0.8024779999999999
269.48,0.8025319999999999
269.53999999999996,0.8025859999999999
269.6,0.8026399999999999
269.65999999999997,0.8026939999999999
269.72,0.8027479999999999
269.78,0.8028019999999999
269.84000000000003,0.802856
269.9,0.8029099999999999
269.96,0.8029639999999999
270.02,0.8030179999999999
270.08,0.8030719999999999
270.14,0.8031259999999999
270.2,0.80318
270.26,0.803234
270.32,0.803288
270.38,0.803342
270.44,0.803396
270.5,0.80345
270.56,0.803504
270.62,0.803558
270.68,0.803612
270.74,0.803666
270.8,0.80372
270.86,0.8037740000000001
270.92,0.8038280000000001
270.98,0.8038820000000001
271.03999999999996,0.803936
271.1,0.8039900000000001
271.15999999999997,0.804044
271.22,0.8040980000000001
271.28,0.8041520000000001
271.34000000000003,0.8042060000000001
271.4,0.8042600000000001
271.46,0.8043140000000001
271.52,0.8043680000000001
271.58,0.8044220000000001
271.64,0.8044760000000001
271.7,0.8045300000000001
271.76,0.8045840000000001
271.82,0.8046380000000001
271.88,0.8046920000000001
271.94,0.8047460000000001
272.0,0.8048000000000001
272.06,0.8048480000000001
272.12,0.8048960000000001
272.18,0.8049440000000001
272.24,0.804992
272.3,0.8050400000000001
272.36,0.805088
272.42,0.8051360000000001
272.48,0.805184
272.53999999999996,0.805232
272.6,0.80528
272.65999999999997,0.8053279999999999
272.72,0.805376
272.78,0.805424
272.84000000000003,0.8054720000000001
272.9,0.80552
272.96,0.805568
273.02,0.805616
273.08,0.8056639999999999
273.14,0.805712
273.2,0.80576
273.26,0.805808
273.32,0.805856
